n,old,new
51,2017/09/25/contribute-for-new-programmers-with-technet-wiki-small-basic-articles/,Contribute-for-New-Programmers-with-TechNet-Wiki-Small-Basic/ba-p/338141
52,2017/09/19/what-is-small-basic-featured-video/,What-is-Small-Basic-Featured-Video/ba-p/338139
53,2017/09/13/small-basic-microbit/,Small-Basic-micro-bit/ba-p/338138
54,2017/09/06/new-tutorial-creative-coding-with-small-basic/,New-Tutorial-Creative-Coding-with-Small-Basic/ba-p/338134
55,2017/09/05/september-2017-small-basic-monthly-challenges/,September-2017-Small-Basic-Monthly-Challenges/ba-p/338132
56,2017/09/04/small-basic-with-xamarin-workbooks/,Small-Basic-with-Xamarin-Workbooks/ba-p/338130
57,2017/09/01/who-will-be-announced-the-next-microsoft-small-basic-guru-read-more-about-september-2017-competition/,Who-will-be-announced-the-next-Microsoft-Small-Basic-Guru-Read/ba-p/338126
58,2017/08/30/small-basic-guru-winning-articles-for-july-2017/,Small-Basic-Guru-Winning-Articles-for-July-2017/ba-p/338125
59,2017/08/28/you-can-be-a-girl-who-writes-code-and-wears-makeup/,You-can-be-a-girl-who-writes-code-and-wears-makeup/ba-p/338121
60,2017/08/28/play-with-microbit-and-small-basic/,Play-with-micro-bit-and-Small-Basic/ba-p/338120
61,2017/08/27/computer-science-in-education-women-and-men-brains/,Computer-Science-in-Education-Women-and-Men-Brains/ba-p/338117
62,2017/08/25/last-week-of-the-august-2017-small-basic-monthly-challenges/,Last-week-of-the-August-2017-Small-Basic-Monthly-Challenges/ba-p/338115
63,2017/08/21/small-basic-mystery-of-round-operation/,Small-Basic-Mystery-of-Round-Operation/ba-p/338114
64,2017/08/14/small-basic-1-3-quick-review/,Small-Basic-1-3-Quick-Review/ba-p/338113
65,2017/08/07/small-basic-1-3-available-now/,Small-Basic-1-3-for-Microsoft-Store-available-now/ba-p/338112
66,2017/07/31/book-info-reviews-beginning-microsoft-small-basic-a-computer-programming-tutorial-by-philip-conrod-lou-tylee/,Book-Info-Reviews-8220-Beginning-Microsoft-Small-Basic-A/ba-p/338110
67,2017/07/24/small-basic-graduate-with-vs2017/,Small-Basic-Graduate-with-VS2017/ba-p/338107
68,2017/07/18/who-will-be-announced-the-next-microsoft-small-basic-guru-read-more-about-july-2017-competition/,Who-will-be-announced-the-next-Microsoft-Small-Basic-Guru-Read/ba-p/338105
69,2017/07/12/small-basic-challenges-of-the-month-july-2017/,Small-Basic-Challenges-of-the-Month-July-2017/ba-p/338104
70,2017/07/09/small-basic-teaching-girls-to-code-what-are-we-doing-and-where-are-we-headed/,Small-Basic-Teaching-Girls-to-Code-What-are-we-doing-and-where/ba-p/338103
71,2017/07/04/small-basic-textbox-ux-part-2/,Small-Basic-Textbox-UX-Part-2/ba-p/338102
72,2017/06/28/finish-june-strong-small-basic-challenges-and-guru-wiki-contest/,Finish-June-Strong-Small-Basic-Challenges-and-Guru-Wiki-Contest/ba-p/338099
73,2017/06/25/other-small-basic-system/,Other-Small-Basic-Systems/ba-p/338098
74,2017/06/14/small-basic-syntax-highlighter/,Small-Basic-Syntax-Highlighter/ba-p/338094
75,2017/06/06/small-basic-international-resources-update-2017/,Small-Basic-International-Resources-Update-2017/ba-p/338093
76,2017/05/30/bringing-small-basic-to-the-decatur-hs-computer-science-club/,Decatur-HS-Computer-Science-Club-Small-Basic-Workshop/ba-p/338092
77,2017/05/28/small-basic-pictionary-project/,Small-Basic-Pictionary-Project/ba-p/338085
78,2017/05/23/microsoft-small-basic-gurus-needed-for-may-2017-apply-within-no-one-turned-away/,Microsoft-Small-Basic-Gurus-Needed-for-May-2017-Apply-Within-No/ba-p/338080
79,2017/05/22/small-basic-musical-score/,Small-Basic-Musical-Score/ba-p/338079
80,2017/05/20/small-basic-challenges-of-the-month-may-2017/,Small-Basic-Challenges-of-the-Month-May-2017/ba-p/338077
81,2017/05/19/book-info-reviews-the-developers-reference-guide-to-microsoft-small-basic-by-philip-conrod-lou-tylee/,Book-Info-Reviews-8220-The-Developer-8217-s-Reference-Guide-to/ba-p/338076
82,2017/05/17/talking-small-basic-at-the-2017-teals-puget-sound-cs-fair/,Talking-Small-Basic-at-the-2017-TEALS-Puget-Sound-CS-Fair/ba-p/338074
83,2017/05/15/small-basic-binary-quiz/,Small-Basic-Binary-Quiz/ba-p/338072
84,2017/04/17/small-basic-with-powershell/,Small-Basic-with-PowerShell/ba-p/338070
85,2017/04/10/small-basic-multilayered-perceptron/,Small-Basic-Multilayered-Perceptron/ba-p/338068
86,2017/04/08/calling-all-wise-men-and-women-small-basic-gurus-needed-apply-within-no-one-turned-away/,Calling-All-Wise-Men-and-Women-Small-Basic-Gurus-Needed-Apply/ba-p/338065
87,2017/04/06/small-basic-challenges-of-the-month-april-2017/,Small-Basic-Challenges-of-the-Month-April-2017/ba-p/338064
88,2017/04/04/learn-small-basic/,Learn-Small-Basic/ba-p/338063
89,2017/03/31/big-news-small-basic-available-on-windows-app-store/,Big-News-Small-Basic-available-on-Windows-App-Store/ba-p/338061
90,2017/03/28/small-basic-quilt-show-case/,Small-Basic-Quilt-Show-Case/ba-p/338059
91,2017/03/23/microsoft-partners-with-ignite-worldwide-to-teach-54-high-school-girls-how-to-code-with-microsoft-small-basic/,Microsoft-partners-with-IGNITE-Worldwide-to-teach-54-High-School/ba-p/338052
92,2017/03/20/small-basic-game-programming-bowling-game/,Small-Basic-Game-Programming-Bowling-Game/ba-p/338039
93,2017/03/13/small-basic-train/,Small-Basic-Train/ba-p/338033
94,2017/03/06/tinkering-arduino-and-small-basic/,Tinkering-Arduino-and-Small-Basic/ba-p/338028
95,2017/03/05/guru-where-are-you-time-for-the-march-2017-microsoft-small-basic-guru-awards/,Guru-Where-are-you-Time-for-the-March-2017-Microsoft-Small-Basic/ba-p/338018
96,2017/03/03/small-basic-challenges-of-the-month-march-2017/,Small-Basic-Challenges-of-the-Month-March-2017/ba-p/338017
97,2017/02/25/small-basic-authors-take-some-titles-in-the-top-20-technet-guru-award-winners/,Small-Basic-Authors-take-some-titles-in-the-Top-20-TechNet-Guru/ba-p/338016
98,2017/02/18/december-2016-small-basic-guru-awards-accessibility-and-troubleshooting-abound/,December-2016-Small-Basic-Guru-Awards-Accessibility-and/ba-p/338012
99,2017/02/11/small-basic-language-packs/,Small-Basic-Language-Packs/ba-p/338009
100,2017/02/08/small-basic-creating-bart-simpsons-head-in-3d/,Small-Basic-Creating-Bart-Simpsons-head-in-3D/ba-p/338002
101,2017/02/03/want-to-be-the-microsoft-technet-small-basic-guru-for-february-2017/,Want-to-be-the-Microsoft-TechNet-Small-Basic-Guru-for-February/ba-p/338001
102,2017/01/18/who-will-be-crowned-the-first-small-basic-guru-of-2017/,Who-will-be-crowned-the-First-Small-Basic-Guru-of-2017/ba-p/338000
103,2017/01/16/small-basic-artificial-neuron/,Small-Basic-Artificial-Neuron/ba-p/337999
104,2017/01/09/small-basic-kinect-motion-recorder/,Small-Basic-Kinect-Motion-Recorder/ba-p/337997
105,2017/01/08/small-basic-challenges-of-the-month-january-2017-featuring-johannes-kepler-isaac-newton-and-golf-putting/,Small-Basic-Challenges-of-the-Month-January-2017-featuring/ba-p/337995
106,2017/01/02/happy-new-year-with-small-basic/,Happy-New-Year-with-Small-Basic/ba-p/337994
107,2016/12/29/algorithm-basics-in-small-basic/,Algorithm-Basics-in-Small-Basic/ba-p/337989
108,2016/12/21/small-basic-troubleshooting-sound-play-doesnt-work-on-some-versions-of-windows-10/,Small-Basic-Troubleshooting-Sound-Play-doesn-t-work-on-some/ba-p/337988
109,2016/12/16/small-basic-december-2016-challenges-of-the-month/,Small-Basic-December-2016-Challenges-of-the-Month/ba-p/337987
110,2016/12/14/who-will-be-crowned-the-last-small-basic-guru-of-2016/,Who-will-be-crowned-the-last-Small-Basic-Guru-of-2016/ba-p/337986
111,2016/12/09/microsoft-coding-for-kids/,Microsoft-Coding-for-Kids/ba-p/337985
112,2016/12/05/small-basic-think-about-textbox-ux/,Small-Basic-Think-about-Textbox-UX/ba-p/337970
113,2016/11/16/small-basic-november-community-challenges-guitar-chords-drawing-freehand-subtractive-colors/,Small-Basic-November-Community-Challenges-Guitar-Chords-Drawing/ba-p/337966
114,2016/11/14/learn-abstract-and-concrete-with-small-basic/,Learn-Abstract-and-Concrete-with-Small-Basic/ba-p/337962
115,2016/11/11/small-basic-accessibility-enlarging-the-text-and-hiding-intellisense-the-help-pane/,Small-Basic-Accessibility-Enlarging-the-text-and-Hiding/ba-p/337960
116,2016/11/09/calling-all-small-basic-gurus-november-readers-need-feeding/,Calling-all-Small-Basic-Gurus-November-readers-need-feeding/ba-p/337959
117,2016/11/07/small-basic-challenges-of-the-month-november-2016-scrolling-text-banner-sb-logo-turtle-mascot-tic-tac-toe-and-checkers/,Small-Basic-Challenges-of-the-Month-November-2016-Scrolling-Text/ba-p/337958
118,2016/11/02/small-basic-guru-september-2016-gold-medal-winner/,Small-Basic-Guru-September-2016-Gold-Medal-Winner/ba-p/337956
119,2016/10/31/draw-a-pumpkin-with-small-basic/,Draw-a-Pumpkin-with-Small-Basic/ba-p/337952
120,2016/10/30/road-to-small-basic-1-3-blog-2-new-mascots/,Road-to-Small-Basic-Online-Blog-2-New-Mascots/ba-p/337947
121,2016/10/23/happy-birthday-small-basic-the-8th-anniversery/,Happy-Birthday-Small-Basic-The-8th-Anniversary/ba-p/337933
122,2016/10/17/small-basic-arduino-sample-programs/,Small-Basic-Arduino-Sample-Programs/ba-p/337931
123,2016/10/14/calling-all-small-basic-gurus-october-readers-need-feeding/,Calling-all-Small-Basic-Gurus-October-readers-need-feeding/ba-p/337926
124,2016/10/10/small-basic-kinect-sensing/,Small-Basic-Kinect-Sensing/ba-p/337924
125,2016/10/08/small-basic-october-2016-challenges-of-the-month-spinning-top-tic-tac-toe-calculating-change-and-more/,Small-Basic-October-2016-Challenges-of-the-Month-Spinning-Top/ba-p/337921
126,2016/09/26/features-of-small-basic-array/,Features-of-Small-Basic-Array/ba-p/337920
127,2016/09/25/featured-small-basic-wiki-article-read-and-write-csv-files/,Featured-Small-Basic-Wiki-Article-Read-and-Write-CSV-Files/ba-p/337918
128,2016/09/19/multitasking-in-small-basic/,Multitasking-in-Small-Basic/ba-p/337917
129,2016/09/18/small-basic-has-2-4-million-installations-plus-10-other-factoids/,Small-Basic-has-2-4-Million-Installations-plus-10-other-factoids/ba-p/337913
130,2016/09/12/small-basic-synchronous-and-asynchronous-type-operations/,Small-Basic-Synchronous-and-Asynchronous-Type-Operations/ba-p/337912
131,2016/09/09/hey-small-basic-professional-help-us-to-help-you-and-become-globally-known-for-being-awesome-at-what-you-do/,Hey-Small-Basic-expert-Help-us-to-help-you-and-become-globally/ba-p/337911
132,2016/09/07/small-basic-challenges-of-the-month-september-2016/,Small-Basic-Challenges-of-the-Month-September-2016/ba-p/337907
133,2016/09/05/small-basic-dice-programs/,Small-Basic-Dice-Programs/ba-p/337906
134,2016/09/03/guest-blog-video-installing-running-microsoft-small-basic-in-azure/,GUEST-BLOG-VIDEO-Installing-Running-Microsoft-Small-Basic-in/ba-p/337902
135,2016/09/01/the-small-basic-guru-awards-july-2016/,The-Small-Basic-Guru-Awards-July-2016/ba-p/337901
136,2016/08/29/small-basic-characters-for-games/,Small-Basic-Characters-for-Games/ba-p/337897
137,2016/08/22/small-basic-flipping-shapes/,Small-Basic-Flipping-Shapes/ba-p/337892
138,2016/08/19/small-basic-gurus-step-up-and-be-known/,Small-Basic-Gurus-step-up-and-be-known/ba-p/337889
139,2016/08/17/small-basic-august-2016-challenges-breakout-game-find-replace-fixed-numbers-and-more/,Small-Basic-August-2016-Challenges-Breakout-Game-Find-Replace/ba-p/337888
140,2016/08/15/small-basic-design-your-original-car/,Small-Basic-Design-Your-Original-Car/ba-p/337886
141,2016/08/08/flag-of-brazil-drawn-with-small-basic/,Flag-of-Brazil-drawn-with-Small-Basic/ba-p/337884
142,2016/08/01/small-basic-draw-moon-quiz/,Small-Basic-Draw-Moon-Quiz/ba-p/337881
143,2016/07/30/small-basic-downloading-the-litdev-extension/,Small-Basic-Downloading-the-LitDev-Extension/ba-p/337879
144,2016/07/29/small-basic-exploring-new-logos-part-1/,Road-to-Small-Basic-Online-Blog-1-Exploring-New-Logos/ba-p/337878
145,2016/07/25/small-basic-traditional-patterns/,Small-Basic-Traditional-Patterns/ba-p/337865
146,2016/07/18/small-basic-gather-code-samples/,Small-Basic-Gather-Code-Samples/ba-p/337861
147,2016/07/15/small-basic-featured-programs-multi-colored-spirals/,Small-Basic-Featured-Programs-Multi-Colored-Spirals/ba-p/337859
148,2016/07/13/small-basic-gurus-needed-for-july/,Small-Basic-Gurus-needed-for-July/ba-p/337855
149,2016/07/11/small-basic-case-insensitive/,Small-Basic-Case-Insensitive/ba-p/337854
150,2016/07/08/here-have-a-turtle/,Here-have-a-turtle/ba-p/337853
151,2016/07/08/small-basic-extension-maestro-servo-controller/,Small-Basic-Extension-Micro-Maestro-Servo-Controller/ba-p/337851
152,2016/07/06/small-basic-july-challenges-rotating-text-chain-with-physics-polygon-shapes-and-the-snake-game-challenge/,Small-Basic-July-Challenges-Rotating-Text-Chain-with-Physics/ba-p/337849
153,2016/07/04/small-basic-stripes-sample/,Small-Basic-Stripes-Sample/ba-p/337848
154,2016/07/03/small-basic-talking-to-raspberry-pi/,Small-Basic-Talking-to-Raspberry-Pi/ba-p/337844
155,2016/07/01/small-basic-guru-winners-may-2016/,Small-Basic-Guru-Winners-May-2016/ba-p/337841
156,2016/06/27/small-basic-art-with-turtle/,Small-Basic-Art-with-Turtle/ba-p/337840
157,2016/06/22/book-review-learn-to-program-with-small-basic-from-middle-and-senior-school-teacher-in-australia-susan-nicholson/,Book-Review-quot-Learn-to-Program-with-Small-Basic-quot-from/ba-p/337838
158,2016/06/20/small-basic-international-resources-update-2016/,Small-Basic-International-Resources-Update-2016/ba-p/337836
159,2016/06/19/3d-visualisation/,Small-Basic-3D-Visualisation/ba-p/337835
160,2016/06/18/learn-to-program-with-small-basic-book-review-by-middle-school-teacher-martin-fish/,quot-Learn-to-Program-with-Small-Basic-quot-Book-Review-by/ba-p/337826
161,2016/06/13/mars-orbit-in-small-basic/,MARS-Orbit-in-Small-Basic/ba-p/337824
162,2016/06/12/do-you-teach-lego-mindstorms-ev3-take-it-to-the-next-level/,Do-you-teach-Lego-Mindstorms-EV3-Take-it-to-the-next-level/ba-p/337821
163,2016/06/10/small-basic-gurus-where-are-you-scooby-doo-join-the-june-guru-competition/,Small-Basic-Gurus-Where-are-you-Scooby-Doo-Join-the-June-Guru/ba-p/337820
164,2016/06/08/date-calculator-small-basic-sample-program/,Date-Calculator-Small-Basic-Sample-Program/ba-p/337819
165,2016/06/06/announcing-the-20-small-basic-book-giveaway-winners-learn-to-program-with-small-basic-an-introduction-to-programming-with-games-art-science-and-math/,ANNOUNCING-THE-20-SMALL-BASIC-BOOK-GIVEAWAY-WINNERS-quot-Learn/ba-p/337817
166,2016/06/04/small-basic-june-challenges-psychedelic-spiral-mars-orbit-anagrams-on-screen-keyboard-and-more/,Small-Basic-June-Challenges-Psychedelic-Spiral-MARS-orbit/ba-p/337813
167,2016/05/30/drawing-voxel-and-cuboid-in-small-basic/,Drawing-Voxel-and-Cuboid-in-Small-Basic/ba-p/337812
